country			state			city			zip code			address			name			phone			features
USA 			NY			New York			10001-2101			151 West 34th Street,,			Macy's Herald Square			212-695-4400			PERSONAL_SHOPPER,VISITOR_CENTER,MATTRESS,RESTAURANT,BRIDAL,FURNITURE_GALLERY,BOPS,HAS_EVENTS
USA 			NJ			Jersey City			07310-1602			20 Mall Drive East,Newport Centre Mall,			Macy's Jersey City			201-255-5200			MATTRESS,BRIDAL,BOPS,HAS_EVENTS
USA 			NY			Brooklyn			11201-5214			422 Fulton Street,,			Macy's Brooklyn Downtown			718-875-7200			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			NY			Elmhurst			11373			88-01 Queens Boulevard,,			Macy's Queens Furniture Gallery			718-760-7101			FURNITURE_GALLERY,MATTRESS
USA 			NY			Elmhurst			11373-4937			90-01 Queens Blvd.,,			Macy's Queens - Rego Park			718-271-7200			BRIDAL,MATTRESS,BOPS
USA 			NY			Flushing			11354-5510			136-50 Roosevelt Avenue,,			Macy's Flushing			718-358-9000			MATTRESS,BOPS
USA 			NY			Brooklyn			11234-5213			5400 Avenue U,,			Macy's Kings Plaza			718-253-3100			PERSONAL_SHOPPER,BRIDAL,MATTRESS,BOPS
USA 			NY			Bronx			10462-7495			1441 Metropolitan Avenue,,			Macy's Parkchester			718-828-7000			MATTRESS,BOPS,HAS_EVENTS
USA 			NY			Bronx			10475			250 Baychester Avenue,,			Macy's Bay Plaza			929-237-7200			MATTRESS,BOPS,HAS_EVENTS
USA 			NY			Douglaston			11362-0010			242-02 61st Avenue,,			Macy's Douglaston			718-225-7300			MATTRESS,BOPS,HAS_EVENTS
USA 			NJ			Paramus			07652-2410			275 Route 4 West,,			Macy's Rt. 4 Furniture Gallery			201-342-8501			FURNITURE_GALLERY,MATTRESS
USA 			NY			Staten Island			10314-5903			98 Richmond Hill Road,,			Macy's Staten Island Furniture Gallery			718-494-4094			FURNITURE_GALLERY,MATTRESS
USA 			NJ			Paramus			07652-0012			500 Garden State Plaza,,			Macy's Paramus Garden State Plaza			201-843-9100			PERSONAL_SHOPPER,MATTRESS,BRIDAL,BOPS,HAS_EVENTS
USA 			NY			Staten Island			10314-5903			112 Richmond Hill Road,Staten Island Mall,			Macy's Staten Island			718-761-3000			PERSONAL_SHOPPER,BRIDAL,FURNITURE_GALLERY,BOPS
USA 			NJ			West Orange			07052-0012			Prospect Avenue,Essex Green Plaza,			Macy's West Orange			973-736-9323			BOPS
USA 			CA			Los Angeles			90017-3700			750 West 7th Street,,			Macy's at Macy's Plaza			213-628-9311			MATTRESS,BOPS
USA 			CA			Baldwin Hills			90008			4005 Crenshaw Blvd.,,			Macy's Baldwin Hills Crenshaw Plaza			323-298-7541			MATTRESS,BOPS
USA 			CA			Eagle Rock			90041			2828 Colorado Blvd.,,			Macy's  Eagle Rock Plaza			323-258-8303			FURNITURE_GALLERY,MATTRESS,BOPS
USA 			CA			Glendale			91210-2101			2100 Glendale Galleria,,			Macy's Glendale Galleria			818-240-8411			BRIDAL,BOPS
USA 			CA			Los Angeles			90048-6201			8500 Beverly Boulevard,,			Macy's Beverly Center			310-854-6655			PERSONAL_SHOPPER,BRIDAL,BOPS
USA 			CA			Pasadena			91101-3509			401 South Lake Avenue,,			Macy's Pasadena Plaza on Lake Avenue			626-792-0211			PERSONAL_SHOPPER,BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			CA			Montebello			90640-2168			2000 Montebello Town Center,,			Macy's Montebello			323-201-2111			FURNITURE_GALLERY,MATTRESS,BOPS
USA 			CA			Montebello			90640			2000 Montebello Town Center,,			Macy's Montebello Town Center Home Store			(323)201-2111			BRIDAL,FURNITURE_GALLERY,BOPS
USA 			CA			Culver City			90230-6414			6200 Slauson Avenue,,			Macy's Culver City Center			310-390-8911			BRIDAL,MATTRESS,BOPS
USA 			CA			Burbank			91502			200 East Cypress,,			Macy's Burbank Town Center			818-841-2100			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			CA			Los Angeles			90067-6501			10250 Santa Monica Boulevard,,			Macy's Westfield Century City			310-556-1611			PERSONAL_SHOPPER,BOPS,HAS_EVENTS
USA 			CA			Los Angeles			90064			10730 W. Pico Blvd.,,			Macy's Westside Pavilion			310-475-4911			BRIDAL,BOPS
USA 			CA			Los Angeles			90064			10800 West Pico Blvd,,			Macy's Westside Pavilion Furniture Store			310-694-3333			FURNITURE_GALLERY,MATTRESS
USA 			CA			Downey			90241			400 Stonewood Street,,			Macy's Stonewood Center			562-862-2880			BRIDAL,MATTRESS,BOPS
USA 			CA			Arcadia			91006			400 S. Baldwin Avenue,,			Macy's Westfield Santa Anita			626-445-5711			BRIDAL,BOPS
USA 			IL			Chicago			60602			111 North State Street,,			Macy's State Street			312-781-1000			PERSONAL_SHOPPER,VISITOR_CENTER,RESTAURANT,BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			IL			Chicago			60611			835 North Michigan Avenue,,			Macy's Water Tower			312-335-7700			VISITOR_CENTER,BRIDAL,BOPS,HAS_EVENTS
USA 			IL			Skokie			60077			1 Old Orchard Shopping Center,,			Macy's Old Orchard			847-329-2700			PERSONAL_SHOPPER,BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			IL			Oak Brook			60523			1 Oak Brook Center,,			Macy's Oakbrook			630-684-2400			PERSONAL_SHOPPER,BRIDAL,BOPS,HAS_EVENTS
USA 			IL			Oak Brook			60521			1717 W 22nd Street,,			Macy's Oakbrook Furniture Gallery			630-645-4980			FURNITURE_GALLERY,MATTRESS
USA 			IL			Calumet City			60409			1 River Oaks Center,,			Macy's River Oaks			708-418-4000			BRIDAL,MATTRESS,BOPS
USA 			IL			Orland Park			60462			1 Orland Square,,			Macy's Orland Square			708-873-4100			PERSONAL_SHOPPER,BRIDAL,MATTRESS,BOPS,HAS_EVENTS
USA 			IL			Northbrook			60062			1555 Northbrook Court,,			Macy's Northbrook			847-509-5100			MATTRESS,BOPS,HAS_EVENTS
USA 			IL			Bolingbrook			60440			645 Boughton Road,,			Macy's Bolingbrook			(630) 343-4200			RESTAURANT,BRIDAL,BOPS
USA 			IL			Schaumburg			60173			1 Woodfield Mall,,			Macy's Woodfield			847-706-6000			PERSONAL_SHOPPER,BRIDAL,BOPS,HAS_EVENTS
USA 			IL			Schaumburg			60173			1200 N Meacham Road,,			Macy's Woodfield Furniture Gallery			847-781-6200			FURNITURE_GALLERY,MATTRESS
USA 			IL			Bloomingdale			60108			1 Stratford Square Mall,,			Macy's Stratford Square			630-924-4700			MATTRESS,BOPS
USA 			IL			Vernon Hillis			60061			1 Hawthorn Ctr,Westfield Hawthorn,			Macy's  Hawthorne Center			847-918-2700			PERSONAL_SHOPPER,BRIDAL,MATTRESS,BOPS,HAS_EVENTS
USA 			IL			Aurora			60504			1 Fox Valley Center,,			Macy's Fox Valley			630-978-5400			RESTAURANT,BRIDAL,MATTRESS,BOPS
USA 			IN			Merrillville			46410			2210 Southlake Mall,,			Macy's SouthLake Mall			219-769-9100			BRIDAL,MATTRESS,BOPS
USA 			NY			Valley Stream			11581-1533			1095 Green Acres Mall,,			Macy's Valley Stream Furniture and Mens			516-837-2100			FURNITURE_GALLERY,MATTRESS
USA 			NY			Valley Stream			11581-1533			1000 Green Acres Rd S,,			Macy's Valley Stream			516-561-6100			MATTRESS,BRIDAL,FURNITURE_GALLERY,BOPS
USA 			NY			Manhasset			11030-3084			1100 Northern Blvd.,,			Macy's Manhasset			516-869-8500			PERSONAL_SHOPPER,MATTRESS,BRIDAL,BOPS,HAS_EVENTS
USA 			NY			Garden City			11530-3467			630 Old Country Road,Unit A3,			Macy's Roosevelt Field			516-746-8200			PERSONAL_SHOPPER,MATTRESS,BRIDAL,BOPS,HAS_EVENTS
USA 			NY			Carle Place			11514-1901			155 Glen Cove Road,,			Macy's Carle Place Furniture Gallery			516-742-8500			FURNITURE_GALLERY,MATTRESS
USA 			TX			Houston			77070			4000 Willowbrook Mall,,			Macy's Willowbrook Mall			281-955-4300			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			TX			Houston			77060			500 Greenspoint Mall,,			Macy's Greenspoint Mall			281-875-7300			BOPS
