country			state			city			zip code			name			address			phone			store hour			service
US			NJ			JERSEY CITY			073101601			SEARS AUTO CENTER			50 MALL DR W			2014205395			Mon 8am 8pm;Tue 8am 8pm;Wed 8am 8pm;Thu 8am 8pm;Fri 8am 8pm;Sat 8am 8pm;Sun 9am 5pm;			STORE PICK UP
US			NJ			JERSEY CITY			073101601			NEWPORT CENTRE MALL			50 MALL DR WEST			2014205300			Sunday 10:00 am - 7:00 pm;Monday 10:00 am - 9:30 pm;Tuesday 10:00 am - 9:30 pm;Wednesday 10:00 am - 9:30 pm;Thursday 10:00 am - 9:30 pm;Friday 9:00 am - 9:30 pm;Saturday 9:00 am - 9:30 pm;			GIFT REGISTRY,STORE PICK UP,Drop-off Location,HEARING AIDS FITTING,OPTICAL,TAX SERVICES & PREPARATION,LE Shops,RESERVE AND PAY,SHIP FROM STORE,Cross Format STS
US			NY			BROOKLYN			112265403			SEARS AUTO CENTER			2359 BEDFORD AVE			7189414321			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 8am 7pm;Sun 9am 5pm;			STORE PICK UP
US			NY			BROOKLYN			112265407			BROOKLYN/BEVERLEY RD - A			2307 BEVERLEY RD			7188265800			Sunday 10:00 am - 7:00 pm;Monday 9:00 am - 9:00 pm;Tuesday 9:00 am - 9:00 pm;Wednesday 9:00 am - 9:00 pm;Thursday 9:00 am - 9:00 pm;Friday 9:00 am - 9:00 pm;Saturday 9:00 am - 9:00 pm;			GIFT REGISTRY,STORE PICK UP,HEARING AIDS FITTING,OPTICAL,TAX SERVICES & PREPARATION,HAS WEBSITE,RESERVE AND PAY,REFRIGERATION,Freezer Section,SHIP FROM STORE,Free Wifi: Wireless Hotspot,Cross Format STS
US			CA			SANTE FE SPGS			90670			10395 SLUSHER DRIVER			UNIT 1			5629067782			Sunday 8:00 am - 9:00 pm;Monday CLOSED;Tuesday CLOSED;Wednesday CLOSED;Thursday CLOSED;Friday CLOSED;Saturday 8:00 am - 10:00 pm;			
US			NC			MORRISVILLE			27560			3200 GATEWAY CENTER BLVD			SUITE 150			8004694663			Sunday 8:00 am - 9:00 pm;Monday CLOSED;Tuesday CLOSED;Wednesday CLOSED;Thursday CLOSED;Friday CLOSED;Saturday 8:00 am - 10:00 pm;			
US			KY			LOUISVILLE			40223			12900 FENWICK CENTER DR			SUITE E			8004694663			Sunday 8:00 am - 9:00 pm;Monday CLOSED;Tuesday CLOSED;Wednesday CLOSED;Thursday CLOSED;Friday CLOSED;Saturday 8:00 am - 10:00 pm;			
US			IN			LINTON			47441			FRANCHISE UNIT 4			310 NE A						Sunday 8:00 am - 9:00 pm;Monday CLOSED;Tuesday CLOSED;Wednesday CLOSED;Thursday CLOSED;Friday CLOSED;Saturday 8:00 am - 10:00 pm;			
US			NY			ELMHURST			113734941			SEARS AUTO CENTER			9020 QUEENS BLVD			7184767224			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 7:30am 7pm;Sun 10am 5pm;			STORE PICK UP
US			NY			REGO PARK			113741139			REGO PARK - A			9605 QUEENS BLVD			7188305900			Sunday 10:00 am - 8:00 pm;Monday 10:00 am - 10:00 pm;Tuesday 10:00 am - 10:00 pm;Wednesday 10:00 am - 10:00 pm;Thursday 10:00 am - 10:00 pm;Friday 9:00 am - 10:00 pm;Saturday 9:00 am - 10:00 pm;			GIFT REGISTRY,FAMILY PORTRAIT STUDIO,STORE PICK UP,WATCH REPAIR SHOP,OPTICAL,TAX SERVICES & PREPARATION,Hair Salon,LE Home Shop,LE Shops,RESERVE AND PAY,REFRIGERATION,Freezer Section,Cross Format STS
US			NY			BROOKLYN			112345215			KINGS PLZ			5200 KINGS PLZ			7186772100			Sunday 10:00 am - 9:00 pm;Monday 10:00 am - 9:30 pm;Tuesday 10:00 am - 9:30 pm;Wednesday 10:00 am - 9:30 pm;Thursday 10:00 am - 9:30 pm;Friday 10:00 am - 9:30 pm;Saturday 9:00 am - 10:00 pm;			GIFT REGISTRY,STORE PICK UP,Drop-off Location,WATCH REPAIR SHOP,HEARING AIDS FITTING,OPTICAL,TAX SERVICES & PREPARATION,LE Home Shop,LE Shops,HAS WEBSITE,RESERVE AND PAY,REFRIGERATION,Freezer Section,Cross Format STS
US			NY			COLLEGE POINT			113562437			SEARS AUTO CENTER			131-08 20TH AVE			7184632648			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 8am 7pm;Sun 10am 5pm;			STORE PICK UP
US			NY			BRONX			104585806			SEARS AUTO CENTER			4720 3RD AVE			7188177325			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 8am 7pm;Sun 10am 5pm;			STORE PICK UP,Western Union Check Cashing
US			NY			BRONX			10458			BRONX-FORDHAM RD			404 E FORDHAM ROAD			7188177300			Sunday 11:00 am - 8:00 pm;Monday 10:00 am - 9:30 pm;Tuesday 10:00 am - 9:30 pm;Wednesday 10:00 am - 9:30 pm;Thursday 10:00 am - 9:30 pm;Friday 9:00 am - 9:30 pm;Saturday 9:00 am - 9:30 pm;			GIFT REGISTRY,STORE PICK UP,HEARING AIDS FITTING,OPTICAL,TAX SERVICES & PREPARATION,SHIP FROM STORE,Free Wifi: Wireless Hotspot,Cross Format STS
US			NY			STATEN ISLAND			103145805			STATEN ISLAND MALL			283 PLATINUM AVE			7183706200			Sunday 10:00 am - 7:00 pm;Monday 9:30 am - 9:30 pm;Tuesday 9:30 am - 9:30 pm;Wednesday 9:30 am - 9:30 pm;Thursday 9:30 am - 9:30 pm;Friday 9:30 am - 9:30 pm;Saturday 9:30 am - 9:30 pm;			GIFT REGISTRY,STORE PICK UP,HEARING AIDS FITTING,OPTICAL,TAX SERVICES & PREPARATION,LE Home Shop,LE Shops,RESERVE AND PAY,SHIP FROM STORE,Cross Format STS
US			NY			STATEN ISLAND			103145805			SEARS AUTO CENTER			283 PLATINUM AVE			7183706245			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 8am 7pm;Sun 10am 5pm;			STORE PICK UP
US			NY			STATEN ISLAND			10314			STATEN ISLAND MALL			283 PLATINUM AVE			7183706236			Sunday 11:00 am - 3:00 pm;Monday 9:00 am - 6:00 pm;Tuesday 9:00 am - 6:00 pm;Wednesday 9:00 am - 6:00 pm;Thursday 9:00 am - 6:00 pm;Friday 9:00 am - 6:00 pm;Saturday 9:00 am - 5:00 pm;			GIFT REGISTRY,STORE PICK UP,Drop-off Location
US			NJ			HACKENSACK			076015911			HACKENSACK - A			436 MAIN ST			2015255200			Sunday CLOSED;Monday 9:30 am - 9:00 pm;Tuesday 9:30 am - 9:00 pm;Wednesday 9:30 am - 9:00 pm;Thursday 9:30 am - 9:00 pm;Friday 9:30 am - 9:00 pm;Saturday 9:00 am - 9:30 pm;			GIFT REGISTRY,STORE PICK UP,Drop-off Location,HEARING AIDS FITTING,OPTICAL,TAX SERVICES & PREPARATION,RESERVE AND PAY,SHIP FROM STORE,Free Wifi: Wireless Hotspot,Cross Format STS
US			NJ			HACKENSACK			07601			SEARS AUTO CENTER			516 MAIN ST			2015255295			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 8am 7pm;			STORE PICK UP
US			NJ			CLIFTON			07012			SEARS HOME APPLIANCE SHOWROOM			780 RT 3 WEST			9732496354			Sunday 11:00 am - 7:00 pm;Monday 10:00 am - 9:00 pm;Tuesday 10:00 am - 9:00 pm;Wednesday 10:00 am - 9:00 pm;Thursday 10:00 am - 9:00 pm;Friday 10:00 am - 9:00 pm;Saturday 10:00 am - 9:00 pm;			HAS WEBSITE,RESERVE AND PAY
US			NJ			BERGENFIELD			076214316			BERGENFIELD - HDWR			450 S WASHINGTON AVE			2012449160			Sunday 9:00 am - 6:00 pm;Monday 8:00 am - 9:00 pm;Tuesday 8:00 am - 9:00 pm;Wednesday 8:00 am - 9:00 pm;Thursday 8:00 am - 9:00 pm;Friday 8:00 am - 9:00 pm;Saturday 8:00 am - 9:00 pm;			STORE PICK UP,Drop-off Location,Home Appliances,HAS WEBSITE
US			NY			QUEENS VILLAGE			114272033			QUEENS -HDWR			22005 HILLSIDE AVE			7187768156			Sunday 9:00 am - 6:00 pm;Monday 8:00 am - 9:00 pm;Tuesday 8:00 am - 9:00 pm;Wednesday 8:00 am - 9:00 pm;Thursday 8:00 am - 9:00 pm;Friday 8:00 am - 9:00 pm;Saturday 8:00 am - 9:00 pm;			STORE PICK UP,Drop-off Location,Home Appliances,HAS WEBSITE,SHIP FROM STORE
US			NJ			WEST ORANGE			07052			WEST ORANGE - OTLT			495 PROSPECT AVE # 11			9733259072			Sunday 10:00 am - 7:00 pm;Monday 9:00 am - 9:00 pm;Tuesday 9:00 am - 9:00 pm;Wednesday 9:00 am - 9:00 pm;Thursday 9:00 am - 9:00 pm;Friday 9:00 am - 9:00 pm;Saturday 9:00 am - 9:00 pm;			Home Appliances,Western Union Check Cashing
US			NJ			ROSELLE			07203			ROSELLE - HDWR			551 556 RARITAN RD			9082980550			Sunday 9:00 am - 6:00 pm;Monday 8:00 am - 9:00 pm;Tuesday 8:00 am - 9:00 pm;Wednesday 8:00 am - 9:00 pm;Thursday 8:00 am - 9:00 pm;Friday 8:00 am - 9:00 pm;Saturday 8:00 am - 9:00 pm;			STORE PICK UP,Home Appliances,HAS WEBSITE
US			NY			VALLEY STREAM			11581			GREEN ACRES MALL			1150 SUNRISE HWY			5162565700			Sunday 10:00 am - 7:00 pm;Monday 10:00 am - 9:30 pm;Tuesday 10:00 am - 9:30 pm;Wednesday 10:00 am - 9:30 pm;Thursday 10:00 am - 9:30 pm;Friday 10:00 am - 9:30 pm;Saturday 9:00 am - 9:30 pm;			GIFT REGISTRY,STORE PICK UP,Drop-off Location,OPTICAL,TAX SERVICES & PREPARATION,RESERVE AND PAY,SHIP FROM STORE,Cross Format STS
US			NY			VALLEY STREAM			11580			SEARS AUTO CENTER			1150 SUNRISE HWY-GREEN ACRES			5162565728			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 8am 7pm;Sun 10am 5pm;			STORE PICK UP,Western Union Check Cashing
